"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb"
"1",1,347869.273936845,6288173.88548791,65.4545454545455,347869.160232846,6288173.83356104,0.00296808412947222,0.00296808412947222
"2",1,347869.273936845,6288173.88548791,65.4545454545455,347869.176476274,6288173.84097916,0.00296808412947222,0.00296808412947222
"3",1,347869.273936845,6288173.88548791,65.4545454545455,347869.192719703,6288173.84839729,0.00296808412947222,0.00296808412947222
"4",1,347869.273936845,6288173.88548791,65.4545454545455,347869.208963131,6288173.85581541,0.00296808412947222,0.00296808412947222
"5",1,347869.273936845,6288173.88548791,65.4545454545455,347869.22520656,6288173.86323354,0.00296808412947222,0.00296808412947222
"6",1,347869.273936845,6288173.88548791,65.4545454545455,347869.241449988,6288173.87065166,0.00296808412947222,0.00296808412947222
"7",1,347869.273936845,6288173.88548791,65.4545454545455,347869.257693416,6288173.87806979,0.00296808412947222,0.00296808412947222
"8",1,347869.273936845,6288173.88548791,65.4545454545455,347869.273936845,6288173.88548791,0.00296808412947222,0.00296808412947222
"9",1,347869.273936845,6288173.88548791,65.4545454545455,347869.290180274,6288173.89290604,0.00296808412947222,0.00296808412947222
"10",1,347869.273936845,6288173.88548791,65.4545454545455,347869.306423702,6288173.90032416,0.00296808412947222,0.00296808412947222
"11",1,347869.273936845,6288173.88548791,65.4545454545455,347869.322667131,6288173.90774229,0.00296808412947222,0.00296808412947222
"12",1,347869.273936845,6288173.88548791,65.4545454545455,347869.338910559,6288173.91516041,0.00296808412947222,0.00296808412947222
"13",1,347869.273936845,6288173.88548791,65.4545454545455,347869.355153987,6288173.92257854,0.00296808412947222,0.00296808412947222
"14",1,347869.273936845,6288173.88548791,65.4545454545455,347869.371397416,6288173.92999666,0.00296808412947222,0.00296808412947222
"15",1,347869.273936845,6288173.88548791,65.4545454545455,347869.387640844,6288173.93741479,0.00296808412947222,0.00296808412947222
"16",2,348101.273936845,6287342.88548791,229.090909090909,348101.368405542,6287342.9673455,0.0272245955273777,0.0272245955273777
"17",2,348101.273936845,6287342.88548791,229.090909090909,348101.354910014,6287342.95565156,0.0272245955273777,0.0272245955273777
"18",2,348101.273936845,6287342.88548791,229.090909090909,348101.341414486,6287342.94395762,0.0272245955273777,0.0272245955273777
"19",2,348101.273936845,6287342.88548791,229.090909090909,348101.327918957,6287342.93226368,0.0272245955273777,0.0272245955273777
"20",2,348101.273936845,6287342.88548791,229.090909090909,348101.314423429,6287342.92056974,0.0272245955273777,0.0272245955273777
"21",2,348101.273936845,6287342.88548791,229.090909090909,348101.300927901,6287342.9088758,0.0272245955273777,0.0272245955273777
"22",2,348101.273936845,6287342.88548791,229.090909090909,348101.287432373,6287342.89718185,0.0272245955273777,0.0272245955273777
"23",2,348101.273936845,6287342.88548791,229.090909090909,348101.273936845,6287342.88548791,0.0272245955273777,0.0272245955273777
"24",2,348101.273936845,6287342.88548791,229.090909090909,348101.260441317,6287342.87379397,0.0272245955273777,0.0272245955273777
"25",2,348101.273936845,6287342.88548791,229.090909090909,348101.246945789,6287342.86210003,0.0272245955273777,0.0272245955273777
"26",2,348101.273936845,6287342.88548791,229.090909090909,348101.233450261,6287342.85040609,0.0272245955273777,0.0272245955273777
"27",2,348101.273936845,6287342.88548791,229.090909090909,348101.219954733,6287342.83871215,0.0272245955273777,0.0272245955273777
"28",2,348101.273936845,6287342.88548791,229.090909090909,348101.206459204,6287342.8270182,0.0272245955273777,0.0272245955273777
"29",2,348101.273936845,6287342.88548791,229.090909090909,348101.192963676,6287342.81532426,0.0272245955273777,0.0272245955273777
"30",2,348101.273936845,6287342.88548791,229.090909090909,348101.179468148,6287342.80363032,0.0272245955273777,0.0272245955273777
"31",3,348333.273936845,6287342.88548791,98.1818181818182,348333.150209165,6287342.90327727,0.0272245955273777,0.0272245955273777
"32",3,348333.273936845,6287342.88548791,98.1818181818182,348333.167884548,6287342.90073593,0.0272245955273777,0.0272245955273777
"33",3,348333.273936845,6287342.88548791,98.1818181818182,348333.185559931,6287342.89819459,0.0272245955273777,0.0272245955273777
"34",3,348333.273936845,6287342.88548791,98.1818181818182,348333.203235313,6287342.89565326,0.0272245955273777,0.0272245955273777
"35",3,348333.273936845,6287342.88548791,98.1818181818182,348333.220910696,6287342.89311192,0.0272245955273777,0.0272245955273777
"36",3,348333.273936845,6287342.88548791,98.1818181818182,348333.238586079,6287342.89057058,0.0272245955273777,0.0272245955273777
"37",3,348333.273936845,6287342.88548791,98.1818181818182,348333.256261462,6287342.88802925,0.0272245955273777,0.0272245955273777
"38",3,348333.273936845,6287342.88548791,98.1818181818182,348333.273936845,6287342.88548791,0.0272245955273777,0.0272245955273777
"39",3,348333.273936845,6287342.88548791,98.1818181818182,348333.291612228,6287342.88294658,0.0272245955273777,0.0272245955273777
"40",3,348333.273936845,6287342.88548791,98.1818181818182,348333.309287611,6287342.88040524,0.0272245955273777,0.0272245955273777
"41",3,348333.273936845,6287342.88548791,98.1818181818182,348333.326962994,6287342.8778639,0.0272245955273777,0.0272245955273777
"42",3,348333.273936845,6287342.88548791,98.1818181818182,348333.344638377,6287342.87532257,0.0272245955273777,0.0272245955273777
"43",3,348333.273936845,6287342.88548791,98.1818181818182,348333.362313759,6287342.87278123,0.0272245955273777,0.0272245955273777
"44",3,348333.273936845,6287342.88548791,98.1818181818182,348333.379989142,6287342.87023989,0.0272245955273777,0.0272245955273777
"45",3,348333.273936845,6287342.88548791,98.1818181818182,348333.397664525,6287342.86769856,0.0272245955273777,0.0272245955273777
